source,original,corrected
civplus,Lapaz County,La Paz County
civplus,Maricopa County Attorney,Maricopa County
civplus,Alameda County Water District,Alameda County
civplus,Merced County Association of Governments,Merced County
civplus,Merced the Bus,Merced County
civplus,Yuba County Water,Yuba County
civplus,Arapahoe County Water and Wastewater Authority,Arapahoe County
civplus,Pueblo County Sheriff,Pueblo County
civplus,Newcastle County,New Castle County
civplus,Escambia County Clerk,Escambia County
civplus,St. Lucie County Fire District,St. Lucie County
civplus,Athens Clarke County,Clarke County
civplus,Fulton County Magistrate Court,Fulton County
civplus,Blackhawk County,Black Hawk County
civplus,Desmoines County,Des Moines County
civplus,McLean County Health,McLean County
civplus,Peoria County Elections,Peoria County
civplus,Peoria City County Health Department,Peoria County
civplus,Tazewell County Health,Tazewell County
civplus,Grant,Grant County
civplus,Johnson County Park and Rec,Johnson County
civplus,Caddo parish,Caddo Parish
civplus,Calvert County Metropolitan Planning Organization,Calvert County
civplus,Prince Georges County,Prince George's County
civplus,Prince Georges County Legislative,Prince George's County
civplus,Queenannes County,Queen Anne's County
civplus,Grand Traverse County Road Commission,Grand Traverse County
civplus,Oakland County Road Commission,Oakland County
civplus,Minnesota Prairie County Alliance,"['Dodge County','Steele County','Waseca County']"
civplus,Clay County Public Health Center,Clay County
civplus,Desoto County,DeSoto County
civplus,Mckinley County,McKinley County
civplus,Whitepine County,White Pine County
civplus,Wyoming County Industrial Development Agency,Wyoming County
civplus,Montgomery County Board of Developmental Disabilities Services,Montgomery County
civplus,Cleveland County Fairgrounds,Cleveland County
civplus,Oklahoma County IAAO,Oklahoma County
civplus,Chester County Library,Chester County
civplus,Lancaster County Planning Commission,Lancaster County
civplus,Maricopa,Maricopa County
civplus,Charleston County Parks,Charleston County
civplus,Mclennan County,McLennan County
civplus,Valverde County,Val Verde County
civplus,Campbell County Economic Development,Campbell County
civplus,York County Economic Development,York County
civplus,Pierce County Conservation District,Pierce County
civplus,Pierce County Family Justice Center,Pierce County
civplus,Pierce County Flood District,Pierce County
civplus,Pierce County TV,Pierce County
civplus,Snohomish County Airport,Snohomish County
civplus,Teton County Fairgrounds,Teton County
civplus,Teton County Library,Teton County
legistar,"Los Angeles Workforce Development, Aging and Community Services",Los Angeles County
legistar,Lexington-Fayette Urban County Government,Fayette County
legistar,Sitka,Sitka City and Borough
legistar,Matanusk-Susitna Borough,Matanuska-Susitna Borough
legistar,Kenai Peninsula Borough,Kenai Peninsula Borough
legistar,Petersburg,Petersburg Borough
